"opportunity_number","nofo_type","opportunity_title","summary.post_date","summary.close_date","opportunity_status","all_concepts","hd_involvement","run_date"
"<a href = ""https://simpler.grants.gov/opportunity/627cc17e-e369-480b-86cc-d7b1e82da372"" target = ""_blank"">PAR-26-105</a>","PAR","ORACLE 3C: Chronic Conditions, Coinfections, and Comorbidities in HIV",2026-02-06,NA,"Forecasted","Pregnancy & Lactation;Pediatrics","HD Primary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/8bc4a6d6-6ae5-4f51-b8fc-cee66eaacd76"" target = ""_blank"">PAR-26-114</a>","PAR","Lasker Clinical Research Scholar's Program (Si2/R00 Clinical Trial  Optional)",2026-01-22,NA,"Forecasted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/6006bba3-62e3-41fd-865f-4bfe25e8f9b3"" target = ""_blank"">RFA-HD-27-001</a>","RFA","Autism Centers of Excellence R01",2025-09-23,NA,"Forecasted","Pediatrics","HD Primary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/060f0ee2-0217-48e6-bc79-2465b2d607bb"" target = ""_blank"">RFA-HD-27-002</a>","RFA","Autism Centers of Excellence P50",2025-09-23,NA,"Forecasted","Pediatrics","HD Primary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/acb0d3ed-3dea-4b0f-a64c-fdf81d55de6b"" target = ""_blank"">PAR-25-450</a>","PAR","Clinical Trial Readiness for Rare Diseases, Disorders, and Syndromes (R21 Clinical Trial Not Allowed)",2025-09-22,2028-07-20,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/9aea1523-3187-471c-859e-cacb890941c7"" target = ""_blank"">RFA-DA-27-004</a>","RFA","BRAIN Initiative: Theories, Models and Methods for Analysis of Complex Data from the Brain (R01 Clinical Trial Not Allowed)",2025-09-16,2027-11-08,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/82a041d2-752e-4b3f-9b8c-f881e28d7b8f"" target = ""_blank"">PAR-26-071</a>","PAR","Biological Testing Facility for Contraception & Reproductive Health",2025-09-15,NA,"Forecasted","Reproductive Health;Pediatrics","HD Primary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/e2d26d70-f02b-4467-9b2a-b7371d123ee7"" target = ""_blank"">RFA-HD-26-009</a>","RFA","Maternal and Pediatric Precision in Therapeutics (MPRINT) Knowledge and Research Coordination Center",2025-09-15,NA,"Forecasted","Pregnancy & Lactation;Pediatrics","HD Primary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/f0f9b58b-5e49-4cec-b9c1-feb66b067b06"" target = ""_blank"">RFA-HD-26-010</a>","RFA","Maternal Medications and Human Milk Research Center (M2HMRC)",2025-09-15,NA,"Forecasted","Pregnancy & Lactation;Pediatrics","HD Primary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/b56109e1-0c63-42ea-96cb-13f4ef3a5064"" target = ""_blank"">RFA-HD-27-005</a>","RFA","Data Sharing for Demographic Research Infrastructure Program",2025-09-15,NA,"Forecasted","Unclassified","HD Primary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/4f761ca6-4ece-4326-91ff-c2c32204bb3b"" target = ""_blank"">PAR-25-322</a>","PAR","Stephen I. Katz Early Stage Investigator Research Project Grant (R01 Clinical Trial Not Allowed)",2025-08-25,2028-08-25,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/c0870ec4-90de-4aa7-8ab4-381603a9539c"" target = ""_blank"">PAR-25-323</a>","PAR","Stephen I. Katz Early Stage Investigator Research Project Grant (R01 Basic Experimental Studies with Human Required)",2025-08-25,2028-08-25,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/11a1ba17-6aeb-4de1-b138-635a62b81cdb"" target = ""_blank"">FOR-HD-25-020</a>","UNK","Novel Experiential Technologies Assisting Individual Learning (NExT AI) Hubs",2025-07-08,NA,"Forecasted","Pediatrics","HD Primary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/15fcc9fd-12c5-4cd5-bfea-17af1566cf90"" target = ""_blank"">FOR-HD-25-023</a>","UNK","Using Archived Data and Specimen Collections to Advance Maternal and Pediatric HIV/AIDS Research",2025-07-08,NA,"Forecasted","Pregnancy & Lactation;Pediatrics","HD Primary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/c78e4cd3-f897-4a41-a882-c8b4ba06a1ca"" target = ""_blank"">NOT-HD-25-006</a>","UNK","Notice of Intent to Publish a Funding Opportunity Announcement for ClinGen Genomic Curation Expert Panels",2025-06-25,NA,"Forecasted","Pediatrics","HD Primary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/3378fa08-6551-4cd6-a483-590bf9b25e69"" target = ""_blank"">NOT-HD-25-007</a>","UNK","Notice of Intent to Publish a Funding Opportunity Announcement for HIV Pediatric, Adolescent and Maternal Clinical Trials",2025-06-25,NA,"Forecasted","Pregnancy & Lactation;Pediatrics","HD Primary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/afb03ca4-ddb4-4fee-8813-c19520fb09ab"" target = ""_blank"">NOT-HD-25-008</a>","UNK","Notice of Intent to Publish a Funding Opportunity Announcement for Impact of Technology and Digital Media Exposure Usage on Child and Adolescent Development",2025-06-25,NA,"Forecasted","Pediatrics","HD Primary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/97adaa7a-4d74-44c6-8771-6d061767a40a"" target = ""_blank"">PAR-25-383</a>","PAR","Blueprint MedTech Translator (UG3/UH3 - Clinical Trial Optional)",2025-06-17,2028-01-28,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/2851fc95-ac9b-4009-9867-795d8f296e3d"" target = ""_blank"">PAR-25-442</a>","PAR","Expanding the Target Landscape by Drugging the Undruggable (R21 Clinical Trial Not Allowed)",2025-06-17,2028-02-17,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/43b3833e-1f05-41d1-86d3-55fedc41ceb8"" target = ""_blank"">PAR-25-414</a>","PAR","Support for Research Excellence (SuRE) Award (R16 Clinical Trial Not Allowed)",2025-06-13,2028-09-07,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/7dc976b1-c6ab-4669-b482-5ff5173e4a4e"" target = ""_blank"">PAR-25-415</a>","PAR","Support for Research Excellence  First Independent Research (SuRE-First) Award (R16 - Clinical Trial Not Allowed)",2025-06-13,2028-09-07,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/ff69bb8e-dc6f-4e46-931f-deb681aaa38a"" target = ""_blank"">FOR-NS-25-017</a>","UNK","Small Business Translator: MedTech and Digital Health Technologies",2025-05-28,NA,"Forecasted","Rehabilitation","HD Secondary","2026-03-25"
