"opportunity_number","nofo_type","opportunity_title","summary.post_date","summary.close_date","opportunity_status","all_concepts","run_date"
"<a href = ""https://simpler.grants.gov/opportunity/3bcda474-f002-4d74-8b8c-9b179df30300"" target = ""_blank"">RFA-AI-28-007</a>","RFA","Childhood Asthma in Urban Settings Clinical Research Network",2026-06-24,NA,"Forecasted","Pediatrics; Pharmacology & Therapeutics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/0709b96e-7fdb-4789-a1d7-71df1395a804"" target = ""_blank"">RFA-AI-28-008</a>","RFA","Clinical Trials in Organ Transplantation in Children and Adults",2026-06-24,NA,"Forecasted","Pediatrics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/dd8d7a29-5191-4919-95ce-f7ac57922cff"" target = ""_blank"">PAR-27-071</a>","PAR","Discovery of the Genetic Basis of Childhood Cancers and of Congenital Anomalies: Gabriella Miller Kids First Pediatric Research Program (X01 Clinical Trial Not Allowed)",2026-06-18,2027-01-11,"Posted","Developmental Biology; Pediatrics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/63297aa2-31d7-48db-bf60-0be097b1e40f"" target = ""_blank"">PAR-27-109</a>","PAR","Exploratory Clinical Trial Grants in Arthritis and Musculoskeletal and Skin Diseases",2026-06-10,NA,"Forecasted","Rehabilitation; Pharmacology & Therapeutics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/588a169a-478d-4554-bbd6-d8e3416000d2"" target = ""_blank"">RFA-DK-27-121</a>","RFA","Optimal Treatment Strategies for use of Anti-Obesity Medications (AOMs) in Children and Adolescents Clinical Centers (U01 Clinical Trial Required)",2026-06-08,2026-10-09,"Posted","Pediatrics; Pharmacology & Therapeutics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/86e848c2-6ff6-4b35-a18b-bc2d031f81c1"" target = ""_blank"">RFA-DK-27-136</a>","RFA","Optimal Treatment Strategies for use of Anti-Obesity Medications (AOMs) in Children and Adolescents Research Coordinating Center (U24 Clinical Trial Not Allowed)",2026-06-08,2026-10-09,"Posted","Pediatrics; Pharmacology & Therapeutics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/1e7f7ee0-15b6-4fac-a5c1-7605cc242e43"" target = ""_blank"">PAR-27-057</a>","PAR","Causal Hypotheses on the Oral-Systemic Health Impacts of Human Behaviors among People with Chronic Conditions (U01 Clinical Trial Not Allowed)",2026-06-04,2029-07-05,"Posted","Developmental Biology","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/53e7b1bb-02a7-4133-b50b-74bce8c324ff"" target = ""_blank"">RFA-CA-27-012</a>","RFA","Metastasis Research Network (U54 Clinical Trial Not Allowed)",2026-06-04,2026-09-25,"Posted","Pediatrics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/acffb1c8-72a8-4b71-b471-6a06ca698ab2"" target = ""_blank"">RFA-DK-27-301</a>","RFA","Kidney Precision Medicine Project Recruitment Sites (U01 Clinical Trial Not Allowed)",2026-06-03,2026-07-10,"Posted","Pediatrics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/26116df5-40e6-4c83-8e5a-d90664b418ba"" target = ""_blank"">RFA-MH-27-140</a>","RFA","Optimizing Behavioral Sleep Interventions for Adolescents and Young Adults (R34 Clinical Trial Required)",2026-05-28,2026-10-22,"Posted","Pediatrics","2026-07-06"
